CodPaisNacimiento,Descripción
-1,No Disponible
1,Afganistán
2,Albania
3,Alemania
4,Argelia
5,Andorra
6,Angola
7,Anguila
8,Antártida
9,Antigua Y Barbuda
10,Antillas Holandesas
11,Arabia Saudita
12,Archipiélago Svalbard
13,Argentina
14,Armenia
15,Aruba
16,Australia
17,Austria
18,Azerbaiyán
19,Bahamas
20,Bahrein
21,Bangladesh
22,Barbados
23,Belarusia
24,Bélgica
25,Belice
26,Benin
27,Bermuda
28,Birmania
29,Bolivia
30,Bonaire Sint Eustatius And Saba
31,Bosnia Y Herzegovina
32,Botsuana
33,Brasil
34,Brunéi
35,Bulgaria
36,Burkina Faso
37,Burundi
38,Bután
39,Cabo Verde
40,Camboya
41,Camerún
42,Canadá
43,Catar
44,Chad
45,Chile
46,China
47,Chipre
48,Ciudad Estado Vaticano
49,Colombia
50,Comoras
51,Corea Del Norte
52,Corea Del Sur
53,Costa De Marfil
54,Costa Rica
55,Croacia
56,Cuba
57,Curazao
58,Dinamarca
59,Dominica
60,Ecuador
61,Egipto
62,El Salvador
63,Emiratos Árabes Unidos
64,Eritrea
65,Eslovaquia
66,Eslovenia
67,España
68,Estados Federados De Micronesia
69,Estados Unidos
70,Estonia
71,Etiopía
72,Fiyi
73,Filipinas
74,Finlandia
75,Francia
76,Gabón
77,Gambia
78,Georgia
79,Ghana
80,Gibraltar
81,Granada
82,Grecia
83,Groenlandia
84,Guadalupe
85,Guam
86,Guatemala
87,Guayana Francesa
88,Guernsey
89,Guinea
90,Guinea Ecuatorial
91,Guinea-Bissau
92,Guyana
93,Haití
94,Honduras
95,Hong Kong
96,Hungría
97,India
98,Indonesia
99,No Indica
100,Irak
101,Irlanda
102,Isla Bouvet
103,Isla De Man
104,Isla De Navidad
105,Isla Norfolk
106,Islandia
107,Islas Aland
108,Islas Caimán
109,Islas Cocos (Keeling)
110,Islas Cook
111,Islas Feroe
112,Islas Georgias Del Sur Y Sandwich Del Sur
113,Islas Heard Y Mcdonald
114,Islas Malvinas
115,Islas Marianas Del Norte
116,Islas Marshall
117,Islas Menores De Estados Unidos De América 
118,Islas Pitcairn
119,Islas Salomón
120,Islas Turcas Y Caicos
121,Islas Vírgenes Británicas
122,Islas Vírgenes De Los Estados Unidos
123,Islas Wallis Y Futuna
124,Israel
125,Italia
126,Jamaica
127,Japón
128,Jersey
129,Jordania
130,Kazajistán
131,Kenia
132,Kirguistán
133,Kiribati
134,República De Kosovo
135,Kuwait
136,Lesoto
137,Letonia
138,Líbano
139,Liberia
140,Libia
141,Liechtenstein
142,Lituania
143,Luxemburgo
144,Macao
145,Macedonia
146,Madagascar
147,Malasia
148,Malaui
149,Maldivas
150,Mali
151,Malta
152,Marruecos
153,Martinica
154,Mauricio
155,Mauritania
156,Mayotte
157,México
158,Moldavia
159,Mónaco
160,Mongolia
161,Montenegro
162,Montserrat
163,Mozambique
164,Namibia
165,Nauru
166,Nepal
167,Nicaragua
168,Níger
169,Nigeria
170,Niue
171,Noruega
172,Nueva Caledonia
173,Nueva Zelanda
174,Omán
175,Países Bajos (Holanda)
176,Pakistán
177,Palaos
178,Palestina
179,Panamá
180,Papúa Nueva Guinea
181,Paraguay
182,Perú
183,Polinesia Francesa
184,Polonia
185,Portugal
186,Puerto Rico
187,Reino Unido
188,República Centroafricana
189,República Checa
190,República Del Congo
191,República Democrática Del Congo
192,República Dominicana
193,República Islámica De Irán
194,República Popular Democrática De Laos
195,Reunión
196,Ruanda
197,Rumanía
198,Rusia
199,Sahara Occidental
200,Samoa
201,Samoa Americana
202,San Cristóbal Y Nieves
203,San Marino
204,San Martin (Parte Francesa)
205,San Pedro Y Miquelón
206,San Vicente Y Las Granadinas
207,"Santa Elena, Ascensión Y Tristán De Acuña"
208,Santa Lucía
209,Santo Tomé Y Príncipe
210,Senegal
211,Serbia
212,Serbia Y Montenegro
213,Seychelles
214,Sierra Leona
215,Singapur
216,Sint Maarten
217,Siria
218,Somalia
219,Sri Lanka
220,Suazilandia
221,Sudáfrica
222,Sudán
223,Suecia
224,Suiza
225,Surinam
226,Tailandia
227,Taiwán
228,Tanzania
229,Tayikistán
230,Territorio Británico Del Océano Indico
231,Territorios Australes Franceses
232,Timor-Leste
233,Togo
234,Tokelau
235,Tonga
236,Trinidad Y Tobago
237,Túnez
238,Turkmenistán
239,Turquía
240,Tuvalu
241,Ucrania
242,Uganda
243,Uruguay
244,Uzbekistán
245,Vanuatu
246,Venezuela
247,Vietnam
248,Yemén
249,Yibuti
250,Yugoslavia
251,Zambia
252,Zimbabue